Cupcakes By Jo,07999 922729,http://www.cupcakesaberdeen.co.uk/,"7a Crown St, Aberdeen, AB11 6HA"
Mrs Smith's Cakes & Bakes,07881 920511,http://www.mrssmiths.net/,"26 Orchard St, Aberdeen, AB24 3DL"
Fondant Cake Design,01224 634555,http://www.fondantcakedesign.co.uk/,"1 Beechgrove Terrace, Aberdeen, AB15 5DR"
Yen Thomson Cakes,07518 520488,http://www.yenscakes.co.uk/,"11 Fonthill Terrace, Aberdeen, AB11 7UR"
D'Sugar Cakes,01224 591581,https://www.facebook.com/pages/dsugar-cakes/121822754567412,"33 Holburn St, Aberdeen, AB10 6BS"
Lemon Drizzle Cakes,07748 845141,https://www.facebook.com/fionamackie118,"118 Fairview Circle, Danestone, Aberdeen, AB22 8YR"
Tinosdelightz,01224 316836,https://tinosdelightz.com/,"19 Eday Court, Aberdeen, AB15 6WG"
Able Cake Designs,07949 723674,https://www.facebook.com/able-cake-designs-851136971593146,"7 Ashwood Circle, Bridge Of Don, Aberdeen, AB22 8XU"
O'Caykx Ltd,01224 640731,http://ocaykx.com/,"Unit 12 City South Business Park, Bankhead Drive, Aberdeen, AB12 4XX"
The Cupcake Stop,07557 798591,http://www.thecupcakestop.co.uk/,"Mosside Drive, Portlethen, Aberdeen, AB12 4NY"
BB's Cakes,07756 726403,https://www.facebook.com/bbscake1/?ref=bookmarks,"The Manse, Kirkton, Maryculter, Aberdeen, AB12 5FS"
Beckys Baking Boutique,07940 446030,http://www.beckysbakingboutique.com/,"63 Bruntland Court, Portlethen, Aberdeen, AB12 4UQ"
Love Rara Ltd,01358 741874,http://www.loverara.co.uk/,"30 Pettens Close, Balmedie, Aberdeen, AB23 8WZ"
Dimbim Speciality Cakes,01224 279899,https://www.facebook.com/dimbimcakes,"14 Morven Circle, Westhill, AB32 6WD"
CakeCetra,01264 313086,https://www.facebook.com/cakecetra,"6 Barley Rd, Andover, SP11 6GB"
Novelty Bakes,01264 771938,http://www.parkers-cakes.com/,"Unit 2-3 The Fairground, Weyhill, Andover, SP11 0QN"
Cake Craze,01962 870865,http://www.cakecraze.co.uk/,"25 Stockbridge Rd, Winchester, SO22 6RW"
Helen's Cakes,07834 899201,https://www.helenscakes.online/,"34 Woodman Close, Winchester, SO21 2NT"
Reilly Cakes,01962 774897,https://reillycakes.co.uk/,"Milnhouse, Micheldever, Winchester, SO21 3DQ"
2Jays Celebration Cakes,01962 860129,http://www.2jays.co.uk/,"6 Western Rd, Winchester, Hampshire, SO22 5AH"
Elizabeths Kitchen,01962 774823,http://www.elizabeths-kitchen.com/,"5 Weston Colley Cottages, Weston Lane, Winchester, SO21 3AF"
Lindsey's Celebration Cakes,01962 620054,http://www.lindseyscelebrationcakes.co.uk/,"48 Hatherley Rd, Winchester, Hampshire, SO22 6RR"
Tori's Cakes,07971 524381,https://www.toriscakes.com/,"120 Capel St, Folkestone, CT18 7HB"
Up Market Balloons,01233 665095,https://www.facebook.com/upmarket.balloons/,"44 Osborne Rd, Willesborough, Ashford, TN24 0EF"
Cake Box,01233 877530,https://www.eggfreecake.co.uk/,"13 High St, Ashford, TN24 8TH"
Bake to the Future,07768 642811,http://www.baketothefuture.net/,"Bulleid Place, Ashford, TN24 0PW"
Cakes by Julie,07467 527485,https://cakesbyjulie.godaddysites.com/,"5 Frederick Benson Mews, Ashford, TN23 3SF"
Ble Couture Cakes,01233 625656,http://www.blecouturecakes.com/,"167 Faversham Rd, Kennington, Ashford, TN24 9AE"
The Willow & Blossom Bakery,07753 165892,http://www.thewillowandblossombakery.co.uk/,"157 Faversham Rd, Kennington, Ashford, TN24 9AE"
Divine Party Cakes,01233 501832,https://www.facebook.com/divinepartycakeshttps://www.facebook.com/divinepartysweets,"3 Finn Farm Rd, Kingsnorth, Ashford, TN25 7AB"
The Cake Place,01233 500001,https://www.thecakeplaceashford.com/,"Unit G The Courtyard, Mersham Le Hatch, Mersham, Ashford, TN25 6NH"
Cake Hole,07856 692828,http://cakeholedymchurch.co.uk/,"Marshlands, Dymchurch, Romney Marsh, TN29 0PY"
The Vegan Habit,07946 052963,https://www.facebook.com/wearetheveganhabit,"16 Woodlands Drive, Hythe, CT21 5TG"
Occasions Cake Makers,07841 481850,https://www.facebook.com/occasionscakemakers,"11 Chippendayle Drive, Harrietsham, Maidstone, ME17 1AD"
Ermintrude's Cakes,07540 816255,http://www.ermintrudescakes.co.uk/,"24 Seaway Gardens, St. Marys Bay, Romney Marsh, TN29 0RY"
Tasty Cakes of Canterbury,01227 456317,http://www.tastycakesofcanterbury.co.uk/,"56 Priest Avenue, Canterbury, CT2 8PJ"
The Creekside Cake Co,07884 435972,http://www.creeksidecakes.com/,"41 Front Brents, Faversham, ME13 7DH"
Tori's Cakes,07971 524381,http://www.toriscakes.com/,"120 Capel St, Folkestone, CT18 7HB"
Up Market Balloons,01233 665095,https://www.facebook.com/upmarket.balloons/,"44 Osborne Rd, Willesborough, Ashford, TN24 0EF"
Cake Box,01233 877530,https://www.eggfreecake.co.uk/,"13 High St, Ashford, TN24 8TH"
Bake to the Future,07768 642811,http://www.baketothefuture.net/,"Bulleid Place, Ashford, TN24 0PW"
Cakes by Julie,07467 527485,https://cakesbyjulie.godaddysites.com/,"5 Frederick Benson Mews, Ashford, TN23 3SF"
Ble Couture Cakes,01233 625656,http://www.blecouturecakes.com/,"167 Faversham Rd, Kennington, Ashford, TN24 9AE"
"Lavenders - Cakes, Bakes & Savouries",07576 459300,https://www.lavenderscakesandbakes.co.uk/?utm_source=yell&utm_medium=referral&utm_campaign=yell,"9 Rosebery Way, Tring, HP23 5DU"
Creative Cakes by Evo,07394 461943,https://www.creativecakesbyevo.com/,"31 Queen St, Aylesbury, HP20 1LU"
Aylesbury Cake Company,07779 624241,http://www.aylesburycakeco.co.uk/,"Apple Tree Lodge 21 Manor Drive, Aylesbury, HP20 1EW"
Havnly Treats,07500 052600,https://facebook.com/havnlytreats,"13 Scott End, Aylesbury, HP19 8SE"
The Great Cake Warehouse,01296 395380,http://www.thegreatcakewarehouse.co.uk/,"4 Townsend Piece Bicester Rd, Aylesbury, HP19 8BQ"
The Catering Shuttle,01296 471171,https://www.thecateringshuttle.co.uk/,"19 Bessemer Crescent, Rabans Lane Industrial Area, Aylesbury, HP19 8TF"
Simply Precious Cakes,07415 769885,https://www.simplypreciouscakes.co.uk/,"Brackley Close, Aston Clinton, Aylesbury, HP22 5JQ"
Decandent Little Cakes,01296 682648,http://www.inspiredbyu.co.uk/,"12 Abbotts Way, Wingrave, Aylesbury, HP22 4QF"
Fyne Cake House,07508 750842,http://www.fynecakehouse.co.uk/,"Fyne Drive, Leighton Buzzard, LU7 2YG"
Big Day Bakery,01494 580527,http://www.bigdaybakery.co.uk/,"25 Lowndes Avenue, Chesham, Buckinghamshire, HP5 2HH"
Cornelli Sugarcraft,01296 696860,http://www.cornellisugarcraft.co.uk/,"1 Town Court High St, Wendover, Aylesbury, HP22 6EA"
A Piece of Cake,01844 213428,http://www.sugaricing.com/,"94 High St, Thame, OX9 3EH"
Brickhill Bistro,07771 858582,https://www.brickhillbistro.co.uk/?utm_source=yell&utm_medium=referral&utm_campaign=yell,"4 Knights Close, Great Brickhill, Milton Keynes, MK17 9AW"
Tracey's Cakes,01844 347147,http://www.traceyscakes.co.uk/,"Unit A1 Walkers Yard Thame Rd, Princes Risborough, HP27 9SG"
La Belle Cake Company,01525 838343,http://www.labellecakecompany.co.uk/?utm_source=yell&utm_medium=referral&utm_campaign=yell,"Hockliffe Rd, Leighton Buzzard, LU7 9NX"
Cake it Easy,07468 388523,https://cakeiteasybaby.com/,"Regent St, Leighton Buzzard, LU7 3JZ"
Linzi Marie Cakes Supplies,01525 375432,https://linzi-marie-cake-supplies.myshopify.com/,"6 North St, Leighton Buzzard, LU7 1EN"
Splat Cooking,0870 766 8290,http://www.splatcooking.com/,"P.O Box 83, Princes Risborough, HP27 9WB"
Nikki's Bountiful Bakery,07831 197424,http://www.nikkisbountifulbakery.co.uk/,"29 Turners Place, Holmer Green, High Wycombe, HP15 6RJ"
Jacky's Cakes,01844 237392,http://www.jackyscakes.co.uk/,"Spa Farm Cottage, Dorton, Aylesbury, HP18 9NE"
"Lavenders - Cakes, Bakes & Savouries",07576 459300,https://www.lavenderscakesandbakes.co.uk/?utm_source=yell&utm_medium=referral&utm_campaign=yell,"9 Rosebery Way, Tring, HP23 5DU"
Creative Cakes by Evo,07394 461943,https://www.creativecakesbyevo.com/,"31 Queen St, Aylesbury, HP20 1LU"
Aylesbury Cake Company,07779 624241,http://www.aylesburycakeco.co.uk/,"Apple Tree Lodge 21 Manor Drive, Aylesbury, HP20 1EW"
Havnly Treats,07500 052600,https://facebook.com/havnlytreats,"13 Scott End, Aylesbury, HP19 8SE"
The Great Cake Warehouse,01296 395380,http://www.thegreatcakewarehouse.co.uk/,"4 Townsend Piece Bicester Rd, Aylesbury, HP19 8BQ"
The Catering Shuttle,01296 471171,https://www.thecateringshuttle.co.uk/,"19 Bessemer Crescent, Rabans Lane Industrial Area, Aylesbury, HP19 8TF"
Electric Bakery,01292 269360,https://www.facebook.com/electric-bakery-412435022212833,"100 Main St, Ayr, KA8 8EF"
Cake! by Kate,07828 872164,http://www.cakebykate.yolasite.com/,"33 Shilliaw Drive, Prestwick, KA9 2NE"
The Sweet Room,07436 584693,http://thesweetroomuk.com/,"2 Kintyre Avenue, Ayr, KA7 4GB"
Sugar & Spice,01292 316830,http://www.sugarandspicetroon.com/,"15 Academy St, Troon, KA10 6HR"
Sugar & Spice,01292 316830,http://www.sugarandspicetroon.com/,"15 Academy St, Troon, KA10 6HR"
Fiona's Cakes,01292 319722,https://www.facebook.com/pages/fionas-cakes,"63 Hunter Crescent, Troon, KA10 7AH"
Castle Cakes,07548 795981,https://www.facebook.com/castlecakesdundonald,"12 Earl Rise, Dundonald, Kilmarnock, KA2 9JJ"
Zoeys Cake Creations,01563 551041,https://www.facebook.com/zoeyscakecreations,"6 Plann Rd, Kilmarnock, KA2 0EN"
Lime Tree Cakes,028 2556 9872,https://www.facebook.com/pages/Lime-Tree-Cakes-Ahoghill/200802939941428?ref=ts,"20 Glebe Cottages, Ahoghill, Ballymena, BT42 2PZ"
Cupcakes By Jo,07999 922729,http://www.cupcakesaberdeen.co.uk/,"7a Crown St, Aberdeen, AB11 6HA"
Cupcakes By Jo,07999 922729,none,"7a Crown St, Aberdeen, AB11 6HA"
Cupcakes By Jo,07999 922729,none,none
Cake,01224 649150,none,"191 Rosemount Place, Aberdeen, Aberdeenshire, AB25 2XP"
Cake,01224 649150,none,none
Mrs Smith's Cakes & Bakes,07881 920511,http://www.mrssmiths.net/,"26 Orchard St, Aberdeen, AB24 3DL"
Mrs Smith's Cakes & Bakes,07881 920511,none,"26 Orchard St, Aberdeen, AB24 3DL"
Mrs Smith's Cakes & Bakes,07881 920511,none,none
Fondant Cake Design,01224 634555,http://www.fondantcakedesign.co.uk/,"1 Beechgrove Terrace, Aberdeen, AB15 5DR"
Fondant Cake Design,01224 634555,none,"1 Beechgrove Terrace, Aberdeen, AB15 5DR"
